782 -> Node: < Primordial, Landroid/animation/PropertyValuesHolder, ofInt(Ljava/lang/String;[I)Landroid/animation/PropertyValuesHolder; > Context: Everywhere
343 -> Node: < Primordial, Ljava/util/AbstractCollection, toArrayList()Ljava/util/ArrayList; > Context: Everywhere
543 -> Node: < Primordial, Ljava/lang/Exception, <init>(Ljava/lang/String;)V > Context: Everywhere
1014 -> Node: < Primordial, Landroid/animation/AnimatorSet$AnimatorSetListener, onAnimationRepeat(Landroid/animation/Animator;)V > Context: Everywhere
224 -> Node: < Primordial, Landroid/app/Activity, getApplication()Landroid/app/Application; > Context: Everywhere
21 -> Node: < Application, Lcom/example/multiwebviewtest/JSBridge2, <init>()V > Context: Everywhere
350 -> Node: < Primordial, Landroid/os/SystemProperties, addChangeCallback(Ljava/lang/Runnable;)V > Context: Everywhere
487 -> Node: < Primordial, Ljava/lang/reflect/Proxy, getInvocationHandler(Ljava/lang/Object;)Ljava/lang/reflect/InvocationHandler; > Context: Everywhere
451 -> Node: < Primordial, Ljava/io/PrintStream, <init>(Ljava/io/OutputStream;)V > Context: Everywhere
1268 -> Node: < Primordial, Ljava/lang/Enum, equals(Ljava/lang/Object;)Z > Context: Everywhere
194 -> Node: < Primordial, Lcom/android/internal/app/ActionBarImpl, <init>(Landroid/app/Activity;)V > Context: Everywhere
1040 -> Node: < Primordial, Ljava/lang/Float, floatValue()F > Context: Everywhere
617 -> Node: < Primordial, Ljava/lang/AssertionError, <init>(Ljava/lang/Object;)V > Context: Everywhere
1138 -> Node: < Primordial, Ljava/nio/ByteOrder, <clinit>()V > Context: Everywhere
242 -> Node: < Primordial, Landroid/os/Build, <clinit>()V > Context: Everywhere
419 -> Node: < Primordial, Ljava/lang/Byte, <init>(B)V > Context: Everywhere
67 -> Node: < Primordial, Landroid/util/SparseArray, <clinit>()V > Context: Everywhere
680 -> Node: < Primordial, Ljava/util/concurrent/locks/LockSupport, park(Ljava/lang/Object;)V > Context: Everywhere
51 -> Node: < Primordial, Ljava/lang/AbstractStringBuilder, <init>(I)V > Context: Everywhere
1240 -> Node: < Primordial, Ljava/lang/reflect/Method, equals(Ljava/lang/Object;)Z > Context: Everywhere
431 -> Node: < Primordial, Ljava/lang/NullPointerException, <init>(Ljava/lang/String;)V > Context: Everywhere
1209 -> Node: < Primordial, Landroid/animation/Keyframe, getInterpolator()Landroid/animation/TimeInterpolator; > Context: Everywhere
986 -> Node: < Primordial, Ljava/util/concurrent/locks/AbstractQueuedSynchronizer, shouldParkAfterFailedAcquire(Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node;Ljava/util/concurrent/locks/AbstractQueuedSynchronizer$Node;)Z > Context: Everywhere
1277 -> Node: < Primordial, Ljava/lang/StringBuilder, <init>(Ljava/lang/String;)V > Context: Everywhere
916 -> Node: < Primordial, Ljava/lang/ref/Reference, get()Ljava/lang/Object; > Context: Everywhere
919 -> Node: < Primordial, Ljava/util/Arrays, equals([Ljava/lang/Object;[Ljava/lang/Object;)Z > Context: Everywhere
892 -> Node: < Primordial, Ljava/lang/RuntimeException, <init>()V > Context: Everywhere
83 -> Node: < Primordial, Landroid/util/XmlPullAttributes, <init>(Lorg/xmlpull/v1/XmlPullParser;)V > Context: Everywhere
1252 -> Node: < Primordial, Ljava/nio/charset/CharacterCodingException, <init>()V > Context: Everywhere
28 -> Node: < Primordial, Landroid/app/FragmentManager, <init>()V > Context: Everywhere
44 -> Node: < Primordial, Landroid/util/ArrayMap, <init>(I)V > Context: Everywhere
509 -> Node: < Primordial, Lcom/android/internal/util/FastPrintWriter$1, <init>()V > Context: Everywhere
759 -> Node: < Primordial, Landroid/animation/ValueAnimator, <init>()V > Context: Everywhere
783 -> Node: < Primordial, Ljava/lang/Float, isNaN(F)Z > Context: Everywhere
646 -> Node: < Primordial, Ljava/lang/String, indexOfSupplementary(II)I > Context: Everywhere
148 -> Node: < Primordial, Ljava/util/concurrent/CopyOnWriteArrayList$CowIterator, <init>([Ljava/lang/Object;II)V > Context: Everywhere
864 -> Node: < Primordial, Ljava/util/ArrayList, clear()V > Context: Everywhere
97 -> Node: < Primordial, Landroid/view/animation/AccelerateDecelerateInterpolator, <init>(Landroid/content/Context;Landroid/util/AttributeSet;)V > Context: Everywhere
1384 -> Node: < Primordial, Ljava/util/concurrent/CopyOnWriteArrayList, isEmpty()Z > Context: Everywhere
640 -> Node: < Primordial, Ljava/util/Collections$EmptyMap, <init>(Ljava/util/Collections$1;)V > Context: Everywhere
41 -> Node: < Primordial, Landroid/os/StrictMode$Span, <init>()V > Context: Everywhere
1100 -> Node: < Primordial, Landroid/hardware/display/DisplayManagerGlobal, getInstance()Landroid/hardware/display/DisplayManagerGlobal; > Context: Everywhere
1284 -> Node: < Primordial, Landroid/os/Parcel, writeInt(I)V > Context: Everywhere
1344 -> Node: < Primordial, Ljava/lang/reflect/AbstractMethod, fixMethodFlags(I)I > Context: Everywhere
53 -> Node: < Primordial, Ljava/lang/String, <init>([CII)V > Context: Everywhere
815 -> Node: < Primordial, Ljava/util/Arrays, fill([Ljava/lang/Object;Ljava/lang/Object;)V > Context: Everywhere
478 -> Node: < Primordial, Landroid/os/SystemProperties, getBoolean(Ljava/lang/String;Z)Z > Context: Everywhere
81 -> Node: < Primordial, Llibcore/util/BasicLruCache, <init>(I)V > Context: Everywhere
638 -> Node: < Primordial, Ljava/util/Collections$EmptyList, <init>(Ljava/util/Collections$1;)V > Context: Everywhere
937 -> Node: < Primordial, Landroid/animation/PropertyValuesHolder, access$500(Ljava/lang/Class;Ljava/lang/String;)I > Context: Everywhere
1331 -> Node: < Primordial, Ljava/lang/StringBuilder, setLength(I)V > Context: Everywhere
212 -> Node: < Primordial, Ljava/util/HashSet, <init>()V > Context: Everywhere
318 -> Node: < Primordial, Ljava/lang/Class, getMethod(Ljava/lang/String;[Ljava/lang/Class;Z)Ljava/lang/reflect/Method; > Context: Everywhere
881 -> Node: < Primordial, Ljava/lang/ThreadLocal, access$200(Ljava/lang/ThreadLocal;)I > Context: Everywhere
422 -> Node: < Primordial, Landroid/os/Looper, <clinit>()V > Context: Everywhere
263 -> Node: < Primordial, Landroid/os/StrictMode$3, <init>()V > Context: Everywhere
1329 -> Node: < Primordial, Ljava/lang/reflect/Modifier, isStrict(I)Z > Context: Everywhere
47 -> Node: < Primordial, Landroid/app/ActionBar, <init>()V > Context: Everywhere
513 -> Node: < Primordial, Ljava/io/BufferedReader, readLine()Ljava/lang/String; > Context: Everywhere
8 -> Node: < Application, Lcom/example/multiwebviewtest/MainActivity, onCreate(Landroid/os/Bundle;)V > Context: Everywhere
128 -> Node: < Primordial, Landroid/view/Choreographer, <init>(Landroid/os/Looper;)V > Context: Everywhere
930 -> Node: < Primordial, Ljava/lang/Object, clone()Ljava/lang/Object; > Context: JavaTypeContext<point: <Primordial,Ljava/util/ArrayList>>
1044 -> Node: < Primordial, Ljava/util/LinkedList, add(Ljava/lang/Object;)Z > Context: Everywhere
1187 -> Node: < Primordial, Ljava/util/TimSort, mergeForceCollapse()V > Context: Everywhere
1319 -> Node: < Primordial, Ljava/lang/reflect/AbstractMethod, getModifiers()I > Context: Everywhere
1279 -> Node: < Primordial, Ljava/lang/reflect/AbstractMethod, getDeclaringClass()Ljava/lang/Class; > Context: Everywhere
